platform,content,score,user,time,movie_id
豆瓣电影,不必对比什么 作为里程碑他已经无敌,5,电子梦,2023-01-22 12:01:06,35267208
豆瓣电影,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,3,HarperDie,2023-01-22 11:53:37,35267208
豆瓣电影,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,5,DrunkenPeach,2023-01-22 13:57:05,35267208
豆瓣电影,原来人死后还要继续干生前的活儿是真的。,4,了不起的花轮君,2023-01-22 16:31:45,35267208
豆瓣电影,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,3,小斑,2023-01-22 16:17:58,35267208
豆瓣电影,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”,4,无名英熊,2023-01-22 19:19:50,35267208
豆瓣电影,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。,4,崇魔媚沪的王黑,2023-01-22 12:06:58,35267208
豆瓣电影,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”,5,关山难越,2023-01-22 16:27:22,35267208
豆瓣电影,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,3,michaelz,2023-01-23 16:06:46,35267208
豆瓣电影,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,4,特凡人,2023-01-22 13:25:43,35267208
