platform,content,score,user,time,song_id,clean_content,words,word_count,sentiment_label,sentiment_prob,sentiment_text
网易云音乐,我一直在找一个跟你很像的人 最后我才发现我和你最像,1,劣_质谎,2025-04-24 23:32:37,1359356908,我一直在找一个跟你很像的人 最后我才发现我和你最像,"['一直', '最后', '发现']",3,2,0.5199675559997559,正面
网易云音乐,晚安不会再有我的消息了,1,抒写草稿纸,2025-04-24 23:32:27,1359356908,晚安不会再有我的消息了,"['晚安', '不会', '再有', '消息']",4,2,0.39687252044677734,正面
网易云音乐,发现你还是有让我鼻酸的能力 但我们已经没有好好过的机会了,1,以慧慧为名的春,2025-04-24 23:31:08,1359356908,发现你还是有让我鼻酸的能力 但我们已经没有好好过的机会了,"['发现', '鼻酸', '能力', '我们', '已经', '好好', '机会']",7,2,0.5192014575004578,正面
网易云音乐,后来我不再羡慕那些谈了很久的恋爱 因为我知道长久的感情需要无数个原谅来维持,1,以慧慧为名的春,2025-04-24 23:30:53,1359356908,后来我不再羡慕那些谈了很久的恋爱 因为我知道长久的感情需要无数个原谅来维持,"['后来', '不再', '羡慕', '那些', '恋爱', '因为', '知道', '长久', '感情', '需要', '无数个', '原谅', '维持']",13,2,0.5347148776054382,正面
网易云音乐,晚安(˘ω˘)✩,1,以慧慧为名的春,2025-04-24 23:30:36,1359356908,晚安ω,['晚安'],1,2,0.3871974050998688,正面
网易云音乐,不喜欢的时候,1,梳个丸子头a,2025-04-24 23:22:50,1359356908,不喜欢的时候,"['喜欢', '时候']",2,2,0.44420164823532104,正面
网易云音乐,来啦,1,梳个丸子头a,2025-04-24 23:18:09,1359356908,来啦,[],0,1,0.38942402601242065,中性
网易云音乐,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了   一个人躺在出租屋里好无力  感觉自己快坚持不下去了  我能讨碗饭吃吗…,1,还没吃柠檬a,2025-04-24 23:11:00,1359356908,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了 一个人躺在出租屋里好无力 感觉自己快坚持不下去了 我能讨碗饭吃吗,"['生着', '发烧', '身上', '一点', '开始', '工作', '工资', '支出', '两天', '出租', '屋里', '无力', '感觉', '坚持', '下去', '我能', '碗饭']",17,2,0.5691059231758118,正面
网易云音乐,借你吉言,1,爱佳欣不伤心,2025-04-24 23:06:56,1359356908,借你吉言,['吉言'],1,2,0.4414868950843811,正面
网易云音乐,加油,1,叫主人就对了hh,2025-04-24 23:02:11,1359356908,加油,['加油'],1,1,0.3995487689971924,中性
网易云音乐,争气一点,1,小菡降临我身边,2025-04-24 22:55:25,1359356908,争气一点,"['争气', '一点']",2,1,0.41293737292289734,中性
